(from GFF),,,
gene.name,gene.ID,B2Gname,rnaID
LOC106916388,gene518,NA,NA
bmpr1a,gene519,rna1009_gene_bmpr1a,rna1009
LOC106916373,gene520,rna1012_gene_LOC106916373,rna1012
LOC106916402,gene521,rna1013_gene_LOC106916402,rna1013
LOC106916411,gene522,rna1014_gene_LOC106916411,rna1014
LOC106916416,gene523,rna1015_gene_LOC106916416,rna1015
LOC106916447,gene524,rna1016_gene_LOC106916447,rna1016
vsig10l,gene525,rna1017_gene_vsig10l,rna1017
etfb,gene526,rna1019_gene_etfb,rna1019
LOC106916473,gene527,rna1020_gene_LOC106916473,rna1020
hamp,gene528,rna1023_gene_hamp,rna1023
LOC106916434,gene529,NA,NA
LOC106916441,gene530,NA,NA
LOC106916498,gene531,rna1026_gene_LOC106916498,rna1026
LOC106916516,gene532,rna1028_gene_LOC106916516,rna1028
LOC106916521,gene533,rna1030_gene_LOC106916521,rna1030
trnav-cac,gene534,NA,NA
LOC106916528,gene535,rna1032_gene_LOC106916528,rna1032
LOC106916549,gene536,rna1034_gene_LOC106916549,rna1034
LOC106916537,gene537,rna1035_gene_LOC106916537,rna1035
dhdds,gene538,rna1037_gene_dhdds,rna1037
LOC106916570,gene539,NA,NA
LOC106916577,gene540,NA,NA
LOC106916584,gene541,rna1041_gene_LOC106916584,rna1041
fam110d,gene542,rna1045_gene_fam110d,rna1045
slc9a1,gene543,rna1046_gene_slc9a1,rna1046
LOC106916626,gene544,rna1048_gene_LOC106916626,rna1048
LOC106916636,gene545,NA,NA
LOC106916641,gene546,rna1050_gene_LOC106916641,rna1050
LOC106916425,gene547,rna1051_gene_LOC106916425,rna1051
